	Sec	RespSize
0	0.0	0.10167706326905712
1	0.1	0.09943767321534387
2	0.2	0.09735685203848757
3	0.3	0.09546727350535558
4	0.4	0.0937985010534911
5	0.5	0.0923765464370542
6	0.6	0.09122348857158712
7	0.7	0.0903571577206157
8	0.8	0.0897908890505461
9	0.9	0.08953334842358883
10	1.0	0.08958843212087744
11	1.1	0.08995524100867351
12	1.2	0.09062812849817539
13	1.3	0.09159682052178734
14	1.4	0.09284660467251979
15	1.5	0.09435858464394734
16	1.6	0.09610999517982832
17	1.7	0.09807457190739885
18	1.8	0.10022296969700537
19	1.9	0.1025232225717299
20	2.0	0.10494123769060928
21	2.1	0.10744131555255086
22	2.2	0.10998668831767774
23	2.3	0.11254006801917107
24	2.4	0.11506419644035795
25	2.5	0.11752238855559921
26	2.6	0.11987906167450726
27	2.7	0.1221002427805973
28	2.8	0.12415404700961824
29	2.9	0.1260111207602106
30	3.0	0.1276450435597728
31	3.1	0.1290326835101552
32	3.2	0.13015450189899425
33	3.3	0.1309948033705873
34	3.4	0.13154192889232583
35	3.5	0.1317883896158671
36	3.6	0.13173094060353746
37	3.7	0.1313705942572903
38	3.8	0.13071257413769816
39	3.9	0.12976621068235003
40	4.0	0.12854478111580653
41	4.1	0.12706529657696838
42	4.2	0.12534824016535448
43	4.3	0.12341726021746435
44	4.4	0.12129882366136728
45	4.5	0.11902183475638332
46	4.6	0.11661722490090491
47	4.7	0.11411751948203017
48	4.8	0.11155638794397013
49	4.9	0.10896818336763342
50	5.0	0.10638747788206944
51	5.1	0.10384860017140869
52	5.2	0.10138518120151495
53	5.3	0.09902971407271421
54	5.4	0.09681313361357127
55	5.5	0.09476442097146692
56	5.6	0.09291023803512669
57	5.7	0.09127459604933354
58	5.8	0.08987856226038565
59	5.9	0.08874000787039235
60	6.0	0.0878733999874669
61	6.1	0.08728963964564847
62	6.2	0.08699594734139934
63	6.3	0.08699579690112672
64	6.4	0.08728889786455783
65	6.5	0.08787122594986382
66	6.6	0.0887351005657315
67	6.7	0.08986930776022715
68	6.8	0.09125926645286751
69	6.9	0.09288723529081015
70	7.0	0.09473255700785484
71	7.1	0.09677193675068846
72	7.2	0.09897975047445379
73	7.3	0.1013283792024913
74	7.4	0.10378856469543654
75	7.5	0.10632978188443311
76	7.6	0.10892062329296716
77	7.7	0.11152919060191077
78	7.8	0.11412348850222821
79	7.9	0.11667181602819762
80	8.0	0.11914315066901948
81	8.1	0.12150752071580112
82	8.2	0.12373636151101866
83	8.3	0.1258028515250638
84	8.4	0.1276822244853129
85	8.5	0.1293520541228475
86	8.6	0.1307925084757166
87	8.7	0.13198657109040152
88	8.8	0.1329202268896547
89	8.9	0.13358261091973986
90	9.0	0.13396611864782404
91	9.1	0.13406647694538543
92	9.2	0.1338827753605698
93	9.3	0.13341745774613883
94	9.4	0.13267627476485008
95	9.5	0.13166819823585668
96	9.6	0.13040529870934725
97	9.7	0.1289025880578
98	9.8	0.12717782924688723
99	9.9	0.1252513157936047
100	10.0	0.12314562373038837
101	10.1	0.12088533916903067
102	10.2	0.11849676479477406
103	10.3	0.11600760881716565
104	10.4	0.11344666005869582
105	10.5	0.11084345297397645
106	10.6	0.10822792646078859
107	10.7	0.10563008034973115
108	10.8	0.10307963344189824
109	10.9	0.10060568690488578
110	11.0	0.09823639673778965
111	11.1	0.09599865887740912
112	11.2	0.09391781034268379
113	11.3	0.09201734960487375
114	11.4	0.09031867912986986
115	11.5	0.0888408727692737
116	11.6	0.0876004703817494
117	11.7	0.0866113017490594
118	11.8	0.085884341515733
119	11.9	0.08542759653121813
120	12.0	0.08524602661242683
121	12.1	0.08534149937666403
122	12.2	0.08571277942389295
123	12.3	0.08635555177697415
124	12.4	0.0872624791226963
125	12.5	0.0884232920387714
126	12.6	0.0898249110460372
127	12.7	0.09145159899428672
128	12.8	0.093285141977608
129	12.9	0.09530505668384956
130	13.0	0.09748882181555324
131	13.1	0.09981213097887717
132	13.2	0.10224916422485497
133	13.3	0.10477287524567626
134	13.4	0.10735529107909335
135	13.5	0.10996782105780882
136	13.6	0.11258157165867363
137	13.7	0.11516766385931061
138	13.8	0.11769754959760403
139	13.9	0.1201433239522553
140	14.0	0.12247802971986728
141	14.1	0.12467595115502647
142	14.2	0.12671289376351888
143	14.3	0.12856644719377383
144	14.4	0.1302162284561898
145	14.5	0.13164410291224654
146	14.6	0.13283438071301817
147	14.7	0.13377398662747728
148	14.8	0.13445260148216295
149	14.9	0.13486277373256828
150	15.0	0.135
151	15.1	0.13486277373256828
152	15.2	0.13445260148216298
153	15.3	0.1337739866274773
154	15.4	0.13283438071301823
155	15.5	0.1316441029122465
156	15.6	0.13021622845618977
157	15.7	0.1285664471937738
158	15.8	0.12671289376351896
